x,y,z,cluster
-6.26291,-5.5268,2.45457,2
-5.94699,-5.66191,2.32493,2
-5.97226,-6.1284,2.33488,2
-5.9031,-5.20928,1.99187,2
-5.92645,-5.22749,1.6891,2
-6.32889,-5.55058,2.47374,2
-5.97761,-5.6562,2.33011,2
-5.90796,-6.02532,2.3025,2
-5.94164,-5.21096,1.99947,2
-5.97114,-5.23443,1.69725,2
-6.32997,-5.51727,2.46754,2
-5.99423,-5.63718,2.32983,2
-5.97734,-5.2099,2.00609,2
-6.32615,-5.94038,2.10633,2
-6.0056,-5.23214,1.70248,2
-6.29973,-5.45699,2.44921,2
-6.02485,-5.63124,2.33501,2
-6.10997,-6.15534,2.36647,2
-6.00868,-5.20487,2.01124,2
-6.03419,-5.22458,1.70603,2
-6.04299,-5.20222,2.01737,2
-6.5121,-6.04023,2.15587,2
-6.06131,-5.21561,1.70917,2
-6.08102,-5.20257,2.02473,2
-6.46701,-5.9616,2.13487,2
-6.0758,-5.19571,1.70875,2
-5.99261,-4.71599,2.33084,2
-6.05366,-5.14708,2.33502,2
-6.0587,-5.55929,2.3282,2
-6.07406,-5.16442,2.01713,2
-6.57985,-6.02839,2.16601,2
-6.0783,-5.16565,1.70499,2
-5.98625,-5.07789,0.503775,2
-6.00253,-4.69404,2.32909,2
-6.06722,-5.12662,2.33418,2
-6.08142,-5.54586,2.33038,2
-6.1069,-5.16015,2.02277,2
-6.58251,-5.99378,2.16082,2
-6.10906,-5.1596,1.70917,2
-5.98367,-4.64979,2.31622,2
-6.07337,-5.09996,2.33051,2
-6.12906,-5.55496,2.34209,2
-6.13385,-5.14838,1.71167,2
-6.1159,-5.1284,1.10029,2
-6.11,-5.12019,0.802289,2
-6.20395,-5.19744,0.519402,2
-5.96309,-4.60452,2.30278,2
-6.13834,-5.12249,2.3494,2
-6.20041,-5.58508,2.3628,2
-5.8734,-5.70311,2.2338,2
-6.07072,-5.06606,2.00045,2
-6.03752,-5.43015,1.97094,2
-6.10005,-5.08819,1.69788,2
-6.11709,-5.09282,0.51082,2
-5.96505,-4.57689,2.2981,2
-6.12523,-5.07975,2.33841,2
-6.17952,-5.53201,2.34836,2
-5.93113,-5.72392,2.24907,2
-6.14966,-5.10001,2.0213,2
-5.84693,-5.22638,1.90348,2
-6.11338,-5.06758,1.69725,2
-6.22278,-5.15333,1.11381,2
-6.22179,-5.14921,0.812804,2
-6.22573,-5.151,0.518569,2
-5.96233,-4.54581,2.29167,2
-6.23168,-5.54437,2.36171,2
-5.99044,-5.74577,2.26486,2
-5.87892,-5.22261,1.90867,2
-5.9572,-4.51306,2.28436,2
-6.28326,-5.55582,2.37478,2
-5.93821,-5.6608,2.23854,2
-5.90439,-5.21292,1.91174,2
-6.46047,-6.1449,2.07321,2
-5.91152,-5.21535,1.60502,2
-5.96184,-4.48786,2.28086,2
-6.29161,-5.52889,2.37152,2
-5.97866,-5.66445,2.24722,2
-5.93569,-5.20824,1.91669,2
-6.47222,-6.11836,2.07095,2
-5.93854,-5.20688,1.60801,2
-5.9641,-4.46096,2.27647,2
-6.30926,-5.5102,2.37179,2
-6.01006,-5.65931,2.25249,2
-5.98607,-5.22002,1.92778,2
-5.98256,-5.2131,1.61559,2
-5.97622,-4.4415,2.27589,2
-6.34067,-5.50343,2.37724,2
-6.01821,-5.21563,1.93297,2
-6.03704,-5.22808,1.62596,2
-5.99136,-4.42428,2.27647,2
-6.38303,-5.50594,2.38677,2
-6.05112,-5.21173,1.93839,2
-6.07534,-5.22871,1.63195,2
-6.01107,-4.4104,2.27881,2
-6.41815,-5.50199,2.39358,2
-6.08037,-5.20451,1.94264,2
-6.11295,-5.22852,1.63773,2
-6.02689,-4.39363,2.27969,2
-6.03486,-4.75976,2.25862,2
-6.39252,-5.44608,2.37778,2
-6.062,-5.56946,2.24617,2
-6.06448,-5.15876,1.9325,2
-6.61628,-6.06509,2.08703,2
-6.10731,-5.19133,1.63195,2
-6.05119,-4.38297,2.28378,2
-6.00563,-4.70689,2.24227,2
-6.04772,-5.52222,2.23459,2
-6.13297,-5.18468,1.94924,2
-6.59526,-6.00869,2.07457,2
-6.06487,-5.10772,0.433592,2
-6.06693,-4.36606,2.28466,2
-6.00566,-4.67724,2.23691,2
-6.1166,-5.14658,2.26336,2
-6.06463,-5.50364,2.23459,2
-6.14885,-5.16584,1.94924,2
-6.61511,-5.98973,2.07502,2
-6.12403,-5.14116,1.62796,2
-6.15974,-5.1629,1.02989,2
-6.08808,-4.35299,2.28758,2
-5.99646,-4.64059,2.22817,2
-6.20027,-5.18457,2.28842,2
-6.1388,-5.53669,2.25565,2
-6.07589,-5.07283,1.92117,2
-5.76174,-5.18495,1.80234,2
-6.10708,-5.09236,1.31724,2
-6.17386,-5.13873,0.733005,2
-6.1483,-5.11383,0.437305,2
-6.10686,-4.33817,2.28962,2
-6.00915,-4.62101,2.2276,2
-6.18736,-5.54617,2.26723,2
-5.83061,-5.21465,1.81887,2
-6.12718,-4.32438,2.29226,2
-6.01263,-4.59439,2.22366,2
-6.14887,-5.07781,2.25791,2
-6.20291,-5.52587,2.2667,2
-6.09416,-5.02495,1.91716,2
-5.80873,-5.16309,1.80709,2
-6.14561,-5.04812,0.434902,2
-6.14746,-4.3105,2.29489,2
-6.01905,-4.57012,2.22084,2
-6.12202,-5.02413,2.24238,2
-6.20033,-5.48955,2.25959,2
-6.1554,-5.0438,1.93155,2
-5.84279,-5.16137,1.81276,2
-6.16929,-4.29763,2.2981,2
-6.01237,-4.53603,2.21323,2
-6.33085,-5.57056,2.30092,2
-5.96473,-5.2366,1.8456,2
-6.19738,-4.28903,2.30366,2
-6.01858,-4.51181,2.21041,2
-6.32468,-5.53079,2.2925,2
-5.99545,-5.23108,1.85013,2
-6.231,-4.28408,2.31126,2
-6.03239,-4.49332,2.21041,2
-6.33579,-5.50629,2.29039,2
-6.02251,-5.22223,1.85352,2
-6.2457,-4.26602,2.31184,2
-6.04615,-4.4748,2.21041,2
-6.41763,-5.54295,2.31382,2
-6.054,-5.21708,1.85828,2
-6.29199,-4.26939,2.32412,2
-6.06294,-4.4585,2.21153,2
