x,y,z,cluster
-5.10375,-4.02958,0.0564082,1
-6.02294,-3.7671,0.00483554,1
-5.39299,-3.65301,-0.0584363,1
-5.19338,-3.79962,-0.11749,1
-5.87401,-3.67052,-0.249142,1
-5.41912,-3.66713,-0.296328,1
-5.82963,-3.63855,-0.498495,1
-8.14354,-5.06644,0.707512,1
-6.96048,-4.6911,0.538679,1
-5.85051,-4.26009,0.395753,1
-5.35663,-4.20353,0.307768,1
-5.9186,-3.67963,0.259081,1
-5.50937,-3.70891,0.183193,1
-5.26745,-3.83215,0.117682,1
-5.1216,-4.01822,0.0564689,1
-6.07779,-3.77551,0.00487025,1
-5.40168,-3.63477,-0.0584093,1
-5.20097,-3.78073,-0.117399,1
-5.92939,-3.67989,-0.251011,1
-5.44278,-3.65884,-0.297007,1
-5.93232,-3.6774,-0.506308,1
-7.39901,-4.9552,0.896217,1
-8.18535,-5.05768,0.709793,1
-7.0047,-4.68971,0.540985,1
-5.82392,-4.21344,0.393077,1
-5.92561,-3.65883,0.258895,1
-5.28566,-3.82066,0.117826,1
-6.08934,-3.75685,0.00487025,1
-5.4552,-3.64652,-0.0588669,1
-5.21092,-3.76359,-0.117362,1
-5.97213,-3.68108,-0.252341,1
-5.45149,-3.64046,-0.296871,1
-5.98859,-3.6869,-0.510143,1
-8.18468,-5.02263,0.708395,1
-5.78249,-4.15651,0.389419,1
-5.96407,-3.65735,0.260084,1
-5.57782,-3.70546,0.18471,1
-5.29411,-3.80209,0.117754,1
-6.0872,-3.72979,0.00485936,1
-5.55883,-3.69117,-0.0598626,1
-5.22975,-3.75283,-0.117527,1
-5.98169,-3.6617,-0.252269,1
-5.46097,-3.62262,-0.296781,1
-6.01519,-3.67787,-0.511445,1
-5.46405,-3.62095,-0.538338,1
-5.82122,-4.15732,0.391166,1
-5.36897,-4.13394,0.306278,1
-5.99916,-3.65359,0.261124,1
-5.60585,-3.69934,0.185261,1
-5.2968,-3.77944,0.117555,1
-5.13935,-3.95628,0.0562607,1
-6.09007,-3.7059,0.00485256,1
-5.62856,-3.71264,-0.0604906,1
-5.24531,-3.73967,-0.117618,1
-6.04157,-3.67292,-0.254318,1
-5.47873,-3.61024,-0.297143,1
-5.29609,-3.77224,-0.357495,1
-6.03923,-3.66716,-0.512531,1
-5.48013,-3.60746,-0.538829,1
-7.58487,-4.97917,0.91314,1
-6.30932,-3.8187,0.544042,1
-5.82173,-4.13077,0.390347,1
-5.39115,-4.12473,0.30682,1
-6.03172,-3.6481,0.262053,1
-5.61466,-3.68048,0.185178,1
-5.31,-3.76433,0.117591,1
-5.14987,-3.93928,0.0562434,1
-6.06204,-3.6634,0.00482124,1
-5.63658,-3.69316,-0.0604547,1
-5.27879,-3.73916,-0.118111,1
-5.06309,-3.86799,-0.17775,1
-6.06137,-3.65953,-0.254678,1
-5.4948,-3.5967,-0.297414,1
-5.32475,-3.76809,-0.358648,1
-6.0513,-3.64913,-0.512603,1
-5.47198,-3.57808,-0.536946,1
-6.30733,-3.79111,0.542865,1
-5.83846,-4.11577,0.39062,1
-5.39026,-4.09789,0.306052,1
-6.10371,-3.66611,0.26469,1
-5.64436,-3.67524,0.185785,1
-5.31825,-3.74572,0.117519,1
-5.2304,-3.9755,0.0569893,1
-6.05267,-3.63244,0.00480491,1
-5.65794,-3.6824,-0.0605624,1
-5.32948,-3.75057,-0.118987,1
-5.13704,-3.89959,-0.179925,1
-6.13085,-3.67586,-0.257122,1
-5.52758,-3.59398,-0.29859,1
-5.33138,-3.74829,-0.358319,1
-5.53726,-3.59657,-0.542266,1
-6.35233,-3.79168,0.545734,1
-5.80935,-4.06862,0.387835,1
-5.40201,-4.08073,0.306007,1
-6.16556,-3.67757,0.266882,1
-5.66903,-3.66659,0.186226,1
-5.34447,-3.7397,0.117844,1
-6.06808,-3.61641,0.00480831,1
-5.67425,-3.66828,-0.0606162,1
-5.35162,-3.74165,-0.119224,1
-5.15377,-3.88742,-0.180093,1
-6.15841,-3.66675,-0.257805,1
-5.55285,-3.58622,-0.299359,1
-5.30602,-3.70619,-0.355848,1
-5.55162,-3.58172,-0.542594,1
-6.36651,-3.7737,0.545955,1
-5.83492,-4.0599,0.388709,1
-5.40891,-4.05994,0.305691,1
-6.19573,-3.66984,0.267699,1
-5.69876,-3.66107,0.186833,1
-5.37233,-3.7347,0.118205,1
-6.0955,-3.60745,0.00482124,1
-5.70651,-3.66436,-0.0608405,1
-5.36143,-3.72407,-0.119188,1
-5.16727,-3.87279,-0.180148,1
-6.18856,-3.65903,-0.258596,1
-5.59577,-3.58967,-0.301078,1
-5.34772,-3.71095,-0.357879,1
-5.57685,-3.57382,-0.543985,1
-7.77032,-4.96555,0.92806,1
-6.38063,-3.75566,0.546176,1
-5.80874,-4.0153,0.386143,1
-6.22419,-3.66095,0.268442,1
-5.72092,-3.65056,0.187191,1
-5.37883,-3.71479,0.118097,1
-6.12206,-3.59786,0.0048335,1
-5.70002,-3.63554,-0.0606521,1
-5.36954,-3.70533,-0.119115,1
-5.17912,-3.85692,-0.180148,1
-6.17132,-3.62333,-0.25741,1
-5.65478,-3.60308,-0.303657,1
-5.36401,-3.69793,-0.358209,1
-6.58434,-3.85227,0.843809,1
-7.67127,-4.86917,0.914442,1
-6.37404,-3.7255,0.544631,1
-5.82762,-4.00198,0.38658,1
-5.38235,-3.98861,0.302801,1
-6.25782,-3.65494,0.269408,1
-5.77009,-3.65707,0.188432,1
-5.41493,-3.71524,0.118639,1
-5.1647,-3.82648,0.0557576,1
-6.18489,-3.6093,0.00487434,1
-5.70524,-3.61429,-0.0605893,1
-5.36769,-3.6798,-0.118823,1
-5.19174,-3.8416,-0.180176,1
-6.18672,-3.60689,-0.257589,1
-5.76626,-3.64929,-0.309041,1
-5.41323,-3.70741,-0.360734,1
-6.67778,-3.87949,0.854253,1
-7.97318,-5.02655,0.948588,1
-6.37078,-3.69742,0.54338,1
-6.29568,-3.96777,0.477581,1
-5.83079,-3.97789,0.385979,1
-5.42996,-3.99814,0.304788,1
-6.31309,-3.66129,0.271303,1
-5.80074,-3.6516,0.189066,1
-5.41391,-3.69017,0.118368,1
-5.18527,-3.81714,0.055853,1
-6.24871,-3.62089,0.00491586,1
-5.75438,-3.62074,-0.060993,1
-5.38804,-3.6695,-0.119023,1
-5.19625,-3.82033,-0.179925,1
-6.26262,-3.62545,-0.260285,1
-5.78589,-3.63689,-0.309493,1
